[2795] APPL / device (0)=n_141 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2797] APPL / device (0)=n_362 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2979] APPL / device (0)=n_332 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2721] APPL / device (0)=n_326 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2712] APPL / device (0)=n_156 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2725] APPL / device (0)=n_60 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[3035] APPL / device (0)=n_97 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[3069] APPL / device (0)=n_88 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2632] APPL / device (0)=n_255 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2911] APPL / device (0)=n_103 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[3004] APPL / device (0)=n_204 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2984] APPL / device (0)=n_350 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2846] APPL / device (0)=n_368 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2619] APPL / device (0)=n_191 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2879] APPL / device (0)=n_176 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2969] APPL / device (0)=n_302 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2638] APPL / device (0)=n_247 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2967] APPL / device (0)=n_331 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2926] APPL / device (0)=n_254 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2589] APPL / device (0)=n_125 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2893] APPL / device (0)=n_251 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2567] APPL / device (0)=n_305 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2565] APPL / device (0)=n_19 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2439] APPL / device (0)=n_241 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2569] APPL / device (0)=n_361 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2385] APPL / device (0)=n_334 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2815] APPL / device (0)=n_83 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2112] APPL / device (0)=n_295 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2584] APPL / device (0)=n_178 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2245] APPL / device (0)=n_182 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[3015] APPL / device (0)=n_330 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2259] APPL / device (0)=n_150 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2135] APPL / device (0)=n_69 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2939] APPL / device (0)=n_202 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2422] APPL / device (0)=n_371 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2408] APPL / device (0)=n_396 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2677] APPL / device (0)=n_68 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2435] APPL / device (0)=n_343 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2255] APPL / device (0)=n_43 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2538] APPL / device (0)=n_148 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2182] APPL / device (0)=n_415 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2192] APPL / device (0)=n_401 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2445] APPL / device (0)=n_197 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2215] APPL / device (0)=n_419 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2239] APPL / device (0)=n_412 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2510] APPL / device (0)=n_123 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2308] APPL / device (0)=n_207 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2067] APPL / device (0)=n_260 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2373] APPL / device (0)=n_48 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2412] APPL / device (0)=n_194 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2075] APPL / device (0)=n_398 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2425] APPL / device (0)=n_288 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2492] APPL / device (0)=n_299 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2473] APPL / device (0)=n_292 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2378] APPL / device (0)=n_183 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2089] APPL / device (0)=n_2 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2579] APPL / device (0)=n_325 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2076] APPL / device (0)=n_209 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2090] APPL / device (0)=n_187 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2428] APPL / device (0)=n_57 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2266] APPL / device (0)=n_276 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2240] APPL / device (0)=n_121 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2216] APPL / device (0)=n_24 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2091] APPL / device (0)=n_168 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[2421] APPL / device (0)=n_363 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8258] APPL / device (0)=n_345 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8932] APPL / device (0)=n_338 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8643] APPL / device (0)=n_400 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8412] APPL / device (0)=n_6 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8844] APPL / device (0)=n_195 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8900] APPL / device (0)=n_147 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9187] APPL / device (0)=n_198 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8425] APPL / device (0)=n_199 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8726] APPL / device (0)=n_73 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8870] APPL / device (0)=n_367 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9068] APPL / device (0)=n_393 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8939] APPL / device (0)=n_98 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8881] APPL / device (0)=n_124 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8739] APPL / device (0)=n_238 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8388] APPL / device (0)=n_101 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8960] APPL / device (0)=n_416 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8873] APPL / device (0)=n_157 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9009] APPL / device (0)=n_119 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9214] APPL / device (0)=n_290 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9040] APPL / device (0)=n_214 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8885] APPL / device (0)=n_47 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9049] APPL / device (0)=n_14 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8924] APPL / device (0)=n_11 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8226] APPL / device (0)=n_308 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8323] APPL / device (0)=n_39 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9007] APPL / device (0)=n_79 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9210] APPL / device (0)=n_71 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8802] APPL / device (0)=n_138 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8478] APPL / device (0)=n_203 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8895] APPL / device (0)=n_268 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8578] APPL / device (0)=n_223 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8455] APPL / device (0)=n_131 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9181] APPL / device (0)=n_40 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8725] APPL / device (0)=n_96 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8331] APPL / device (0)=n_90 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8804] APPL / device (0)=n_244 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8242] APPL / device (0)=n_31 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8576] APPL / device (0)=n_18 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8991] APPL / device (0)=n_294 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8314] APPL / device (0)=n_146 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8229] APPL / device (0)=n_8 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8613] APPL / device (0)=n_413 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8505] APPL / device (0)=n_13 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8315] APPL / device (0)=n_377 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8638] APPL / device (0)=n_174 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8384] APPL / device (0)=clock_tick_in_red_145496867388 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[8507] APPL / device (0)=n_287 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8218] APPL / device (0)=n_394 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9153] APPL / device (0)=n_284 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8897] APPL / device (0)=n_313 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8709] APPL / device (0)=n_414 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8828] APPL / device (0)=n_303 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8677] APPL / device (0)=n_140 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9050] APPL / device (0)=n_281 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9178] APPL / device (0)=n_4 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8670] APPL / device (0)=n_76 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8610] APPL / device (0)=n_5 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8728] APPL / device (0)=n_108 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8807] APPL / device (0)=n_227 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8234] APPL / device (0)=n_347 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8758] APPL / device (0)=n_218 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8769] APPL / device (0)=n_34 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8514] APPL / device (0)=n_80 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8568] APPL / device (0)=n_205 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8529] APPL / device (0)=n_50 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8621] APPL / device (0)=n_233 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8216] APPL / device (0)=n_274 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9712] APPL / device (0)=n_15 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9683] APPL / device (0)=n_336 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9661] APPL / device (0)=n_122 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9625] APPL / device (0)=n_279 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9431] APPL / device (0)=n_411 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9645] APPL / device (0)=n_240 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9460] APPL / device (0)=n_327 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9603] APPL / device (0)=n_356 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9363] APPL / device (0)=n_259 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9540] APPL / device (0)=n_116 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9544] APPL / device (0)=n_153 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9372] APPL / device (0)=n_359 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9458] APPL / device (0)=n_158 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9398] APPL / device (0)=n_0 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9480] APPL / device (0)=n_272 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9405] APPL / device (0)=n_142 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9234] APPL / device (0)=n_112 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9407] APPL / device (0)=n_267 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9254] APPL / device (0)=n_145 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9222] APPL / device (0)=n_63 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9337] APPL / device (0)=n_323 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9602] APPL / device (0)=clock_tick_in_red_293554588808 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[9555] APPL / device (0)=n_29 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9304] APPL / device (0)=n_365 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9290] APPL / device (0)=n_314 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9305] APPL / device (0)=n_312 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9264] APPL / device (0)=n_328 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9259] APPL / device (0)=n_72 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9697] APPL / device (0)=n_213 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9724] APPL / device (0)=n_128 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9477] APPL / device (0)=n_92 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9987] APPL / device (0)=n_235 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9771] APPL / device (0)=n_95 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10137] APPL / device (0)=n_74 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9735] APPL / device (0)=n_232 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9350] APPL / device (0)=n_300 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9753] APPL / device (0)=n_135 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9490] APPL / device (0)=n_211 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9520] APPL / device (0)=n_120 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9955] APPL / device (0)=n_373 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9510] APPL / device (0)=n_133 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10097] APPL / device (0)=n_263 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10102] APPL / device (0)=n_136 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9249] APPL / device (0)=n_289 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9964] APPL / device (0)=n_105 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10062] APPL / device (0)=n_51 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9359] APPL / device (0)=n_364 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
